confidence,date,index,item_id,lake_high_m2,lake_kuchnia_area_m2,lake_low_m2,manifest_local_clear_fraction,manifest_local_valid_fraction,platform,pond_area_m2,pond_high_m2,pond_low_m2,resolution_m,spectral_clear_fraction,year
medium,2014-05-20,MNDWI+NDWI,LC08_L2SP_190022_20140520_02_T1,900.0,0.0,0.0,0.976164,1.0,landsat-8,0.0,900.0,0.0,30,0.968452,2014
high,2015-05-07,MNDWI+NDWI,LC08_L2SP_190023_20150507_02_T1,539100.0,368100.0,211500.0,1.0,1.0,landsat-8,0.0,900.0,0.0,30,1.0,2015
high,2016-05-23,MNDWI+NDWI,S2A_MSIL2A_20160523T095032_R079_T33UYV_20210211T133807,435600.0,377200.0,321000.0,1.0,1.0,Sentinel-2A,0.0,100.0,0.0,10,1.0,2016
high,2017-05-18,MNDWI+NDWI,S2A_MSIL2A_20170518T095031_R079_T34UCE_20210209T162325,390300.0,333400.0,277500.0,1.0,1.0,Sentinel-2A,0.0,100.0,0.0,10,1.0,2017
high,2018-05-08,MNDWI+NDWI,S2B_MSIL2A_20180508T095029_R079_T34UCE_20201012T072713,363800.0,310400.0,257300.0,1.0,1.0,Sentinel-2B,0.0,100.0,0.0,10,1.0,2018
high,2019-05-01,MNDWI+NDWI,S2A_MSIL2A_20190501T100031_R122_T33UYV_20201006T083634,426600.0,368200.0,310800.0,1.0,1.0,Sentinel-2A,0.0,100.0,0.0,10,1.0,2019
high,2020-05-07,MNDWI+NDWI,S2B_MSIL2A_20200507T095029_R079_T33UYV_20200920T222553,425300.0,367600.0,311400.0,0.9957,1.0,Sentinel-2B,0.0,100.0,0.0,10,0.996571,2020
high,2021-05-12,MNDWI+NDWI,S2B_MSIL2A_20210512T095029_R079_T34UCE_20210606T070040,421100.0,364600.0,309100.0,0.9999,1.0,Sentinel-2B,0.0,100.0,0.0,10,1.0,2021
high,2022-05-10,MNDWI+NDWI,S2B_MSIL2A_20220510T100029_R122_T33UYV_20240612T220829,420100.0,363100.0,307400.0,1.0,1.0,Sentinel-2B,0.0,100.0,0.0,10,1.0,2022
high,2023-05-30,MNDWI+NDWI,S2A_MSIL2A_20230530T100031_R122_T33UYV_20230530T153352,452000.0,393800.0,337100.0,1.0,1.0,Sentinel-2A,0.0,100.0,0.0,10,1.0,2023
high,2024-05-01,MNDWI+NDWI,S2A_MSIL2A_20240501T095031_R079_T33UYV_20240501T154122,400800.0,343200.0,285800.0,1.0,1.0,Sentinel-2A,0.0,100.0,0.0,10,1.0,2024
high,2025-05-06,MNDWI+NDWI,S2C_MSIL2A_20250506T095051_R079_T33UYV_20250506T121455,407700.0,350700.0,294600.0,1.0,1.0,Sentinel-2C,0.0,100.0,0.0,10,1.0,2025
high,2026-05-01,MNDWI+NDWI,S2C_MSIL2A_20260501T095031_R079_T33UYV_20260501T132213,373700.0,322300.0,272200.0,1.0,1.0,Sentinel-2C,0.0,100.0,0.0,10,1.0,2026
